Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
1,Patrick van Aanholt,DEF,Crystal Palace,18.0,0,0.9,-0.9,15,804,998,80.6,8,25,32.0,667,763,87.4,129,210,61.4,0,21,57,19,4,2,1,1,17,2,1,11.8,0.94,0.11,0.06,0.50,1.7,0.9,0.05,+0.3,+0.1
2,Max Aarons,DEF,Norwich City,24.0,0,3.4,-3.4,18,896,1143,78.4,22,68,32.4,783,902,86.8,91,173,52.6,1,0,31,9,3,0,0,0,12,2,0,16.7,0.50,0.08,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4
3,Tammy Abraham,FWD,Chelsea,21.4,3,2.3,+0.7,17,248,354,70.1,23,47,48.9,191,261,73.2,34,46,73.9,0,0,16,5,0,13,0,0,71,29,0,40.8,3.32,1.36,0.18,0.45,11.7,11.7,0.16,+1.3,+1.3
4,Che Adams,FWD,Southampton,7.7,1,0.6,+0.4,7,104,155,67.1,5,13,38.5,89,118,75.4,10,24,41.7,1,0,8,0,0,0,0,0,16,2,0,12.5,2.07,0.26,0.00,0.00,1.5,1.5,0.09,-1.5,-1.5
5,Adrián,GK,Liverpool,8.7,0,0.0,0.0,0,211,295,71.5,2,4,50.0,99,100,99.0,110,191,57.6,0,0,3,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
6,Sergio Agüero,FWD,Manchester City,13.1,3,2.3,+0.7,14,217,278,78.1,13,28,46.4,190,233,81.5,14,17,82.4,5,0,10,13,0,16,2,2,63,23,0,36.5,4.83,1.76,0.22,0.61,11.7,10.1,0.16,+4.3,+3.9
7,Albian Ajeti,MID,West Ham,1.4,0,0.1,-0.1,2,15,18,83.3,1,1,100.0,14,17,82.4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.42,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
8,Nathan Aké,DEF,Bournemouth,20.4,1,0.6,+0.4,4,821,920,89.2,6,15,40.0,579,622,93.1,236,283,83.4,1,0,49,7,0,2,0,0,19,5,0,26.3,0.93,0.25,0.11,0.40,2.2,2.2,0.12,-0.2,-0.2
9,Marc Albrighton,MID,Leicester City,4.2,1,0.9,+0.1,8,167,242,69.0,3,17,17.6,127,156,81.4,37,69,53.6,0,2,15,8,2,0,0,0,6,2,0,33.3,1.44,0.48,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
10,Toby Alderweireld,DEF,Tottenham,25.0,2,0.9,+1.1,11,1287,1543,83.4,7,19,36.8,801,854,93.8,479,670,71.5,5,0,115,15,0,1,0,0,9,3,0,33.3,0.36,0.12,0.11,0.33,0.7,0.7,0.08,+0.3,+0.3
11,Trent Alexander-Arnold,DEF,Liverpool,25.3,10,7.9,+2.1,66,1606,2254,71.3,25,96,26.0,1124,1314,85.5,457,844,54.1,3,112,137,49,12,2,0,0,30,7,5,23.3,1.18,0.28,0.07,0.29,1.9,1.9,0.06,+0.1,+0.1
12,Alisson,GK,Liverpool,17.3,1,0.4,+0.6,1,502,593,84.7,1,1,100.0,253,255,99.2,248,337,73.6,1,0,5,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
13,Dele Alli,MID,Tottenham,17.5,3,2.2,+0.8,20,524,671,78.1,11,45,24.4,417,484,86.2,96,142,67.6,6,4,37,19,0,7,0,0,32,16,0,50.0,1.83,0.92,0.22,0.44,5.4,5.4,0.17,+1.6,+1.6
14,Miguel Almirón,FWD,Newcastle Utd,23.7,1,0.6,+0.4,12,425,575,73.9,12,38,31.6,354,427,82.9,59,110,53.6,1,1,24,13,1,2,0,0,37,9,0,24.3,1.56,0.38,0.05,0.22,4.4,4.4,0.12,-2.4,-2.4
15,Marcos Alonso,DEF,Chelsea,6.5,2,0.8,+1.2,9,406,497,81.7,7,19,36.8,331,373,88.7,68,105,64.8,0,1,20,9,5,1,0,0,7,3,0,42.9,1.07,0.46,0.14,0.33,0.4,0.4,0.06,+0.6,+0.6
16,Steven Alzate,MID,Brighton,13.1,0,0.7,-0.7,13,553,651,84.9,11,28,39.3,483,543,89.0,59,80,73.8,1,0,33,11,0,0,0,0,13,3,0,23.1,1.00,0.23,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1
17,Ibrahim Amadou,DEF,Norwich City,8.4,0,0.1,-0.1,1,310,361,85.9,2,6,33.3,219,244,89.8,89,111,80.2,0,0,14,0,0,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0
18,Felipe Anderson,MID,West Ham,15.0,4,2.9,+1.1,25,676,868,77.9,18,56,32.1,558,673,82.9,100,139,71.9,3,3,44,31,6,1,0,0,21,8,0,38.1,1.40,0.53,0.05,0.13,2.4,2.4,0.12,-1.4,-1.4
19,Florin Andone,MID,Brighton,0.8,0,0.0,0.0,1,8,12,66.7,0,1,0.0,8,11,72.7,0,0,0,0,1,0,0,0,1,0,0,1,1,0,100.0,1.27,1.27,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8
